Precipitation,Mean Temperature,Humidity,Deaths
44.8,22.5,11.2,0
41.3,22.8,11.3,0
50.6,23,11.5,0
40.3,23,11.4,0
35.8,23.8,11.8,0
47.1,22.4,11.1,0
38.6,22.8,11.3,0
45.5,22.8,11.3,0
44.7,22.9,11.5,0
873.7,22.5,19.3,242.2193721
1156.8,22.1,19.1,239.2444443
757.3,22.5,19.4,235.2690157
1026.9,22.2,19.2,231.7837175
838.9,22.4,19.7,225.8320079
933.5,22.7,19.9,220.6231977
1157.7,22.3,19.6,212.988503
1219.3,22.6,19.8,203.288356
827.4,22.9,20,198.5143986
1306.4,22.3,19.4,196.4349004
1075.9,22,19.4,158.3236738
1056.8,22.4,19.6,137.561065
1039.7,22.5,19.8,119.8228937
1067,22.6,19.8,110.9741825
1213.7,22.3,19.5,102.2527746
928.6,23,19.9,95.75855423
1108.4,22.4,19.7,102.0531477
1185.5,22.5,19.6,109.2084077
1083.2,22.3,19.5,114.81391
1154.9,22.5,19.8,109.1067651
1046.3,23.1,20.1,82.85316039
1174.4,22.5,19.8,67.11823792
1134.7,22.3,19.5,58.61446789
1139.8,22.5,19.7,57.56799125
1110.5,22.6,19.8,62.06941419
227.1,29,14.1,205.7861
277.5,28.4,14.1,200.6676082
261.5,28,13.5,194.1970755
264.5,28.6,14,189.8558573
348.6,28,13.9,186.4182366
272.1,28.7,14.2,184.3589962
261.3,28.9,14.1,183.2542802
262.1,28.9,14.3,179.2691162
304.7,29.2,14.5,179.0826752
358.1,28.5,14.1,181.4247879
267.9,28.8,14,184.4605204
274.4,29.1,14.2,190.9329166
236.2,29.2,14.1,199.8793064
339.1,29.2,14.4,209.1257012
294.5,29.2,14.4,217.9450555
293.6,29.4,14.5,221.2759467
270.9,28.9,14,210.8135929
291.2,29.1,14.2,197.4144273
326.7,28.5,13.8,181.2670078
299,29.2,14.6,164.5217491
368.7,29.8,14.8,158.4171342
263.7,29.2,14.5,162.252053
318.3,28.8,14.5,174.253135
297.8,28.9,14.6,177.7329995
299,29.1,14.6,171.5552836
62.8,28.3,12.7,6.907893629
66.7,28,12.3,7.049838303
81.6,27.6,12.1,7.182132098
87.7,27.8,12.2,7.472567064
95.8,27.6,12.1,7.722342861
101.2,28.2,12.6,8.191496903
72.1,28.3,12.7,9.030493984
84.6,28.5,12.9,9.580504886
88.3,28.7,12.9,10.70631244
110.3,28,12.5,11.79921878
97.9,28.3,12.6,12.83956245
75.8,29,12.9,15.65391907
76.9,28.6,12.8,18.28667094
109.7,28.5,12.9,19.87729059
96.2,28.5,12.7,18.8021472
100.2,28.8,13,18.86362395
80.6,28.7,12.6,18.58924546
89.1,28.5,12.5,17.08002539
106.9,28.4,12.7,16.25843355
99.4,28.6,12.8,15.16482589
133.4,29.3,13.2,9.072703066
82.2,28.7,13,7.656472807
103.9,28.3,12.8,7.080340461
108.8,28.8,13,6.743792488
87.8,28.5,12.9,6.326640809
288.6,17.7,12,0.019508437
344,16.8,11.2,0.019494201
305,16.8,11.1,0.019343375
294,16.7,11.1,0.019553423
236.4,17.5,11.8,0.019750746
302.7,17.9,12.1,0.019718586
552,17.4,11.7,0.020062016
336.5,18,12.3,0.020593658
241.6,17.7,12,0.020633534
302.3,17.4,11.8,0.020813065
237.2,17.7,11.9,0.020796541
224.5,18.4,12.2,0.021074034
384.5,17.9,11.9,0.02130493
382.9,18,12.2,0.021472943
308.6,17.6,11.9,0.021493553
237.1,17.8,11.9,0
349.4,18.1,12.1,0
302.2,17.7,11.8,0
367.2,17.6,11.9,0
348.6,18.1,12.2,0
479.2,18.5,12.3,0
375.6,18.1,12.2,0
350.6,17.9,12.1,0
259.6,17.9,11.9,0
312.9,18.3,12.3,0
802.9,24.2,21.9,241.4508367
993.2,24,22.1,236.510448
693.2,24.5,22.3,231.5630724
955.2,24.2,22.2,230.1958197
837.7,24,22.3,225.7761265
872.1,24.4,22.8,223.420691
1030.1,24.1,22.4,221.0244148
1160.1,24.1,22.6,216.7424026
985.3,24.6,22.9,215.5747423
1114.8,24.1,22.4,212.7859045
1229.1,23.9,22.2,205.0310241
1154.6,24.2,22.4,200.5450443
910.8,24.5,22.6,191.3819915
937.9,24.4,22.6,179.6164555
1096.8,24.3,22.5,165.3042992
886.7,24.9,22.9,148.4757983
858.8,24.3,22.6,142.7004547
1000.2,24.5,22.6,127.7304846
1000.6,24.3,22.4,103.9219911
891.1,24.4,22.7,103.3474976
911.3,24.9,23.1,101.0501137
1041.1,24.5,22.7,96.47798691
986.4,24.3,22.3,93.86067713
989.2,24.4,22.6,85.24233376
1044.9,24.5,22.8,74.93678788
258.7,20.3,12.3,8.269768442
303.5,20.4,12,7.766455161
131,20.6,12.2,7.474077488
278.7,20.6,12.1,7.241258646
205.5,20.4,12.5,6.883272776
163.6,20.6,12.4,6.831654891
192.7,20.2,12.6,6.73969836
301.4,20.6,12.3,6.80270338
169.5,20.5,12.4,6.903672434
251.2,20.5,12.6,7.278804611
315.8,20.5,12.4,7.236646264
283.1,20.4,12.2,6.755691723
280.7,20.3,12.4,6.678414702
274,20.6,12.4,7.050495659
287.5,20.6,12.6,8.222062273
257,20.8,12.4,8.861376306
408.1,20.4,12.7,8.851606088
272.1,20.4,12.2,7.632246018
273.4,20.3,12.1,6.893182055
325.7,20.9,12.1,5.51910581
281.5,20.9,12.7,4.341346419
350.7,20.6,12.5,4.196162825
298.2,20.6,12.3,4.179644587
230.1,20.9,12.4,4.069761631
324.6,20.7,12.6,4.153986423
115.1,27.7,12,215.2228711
155.2,27.6,12.1,212.7841722
143.6,26.8,11.2,209.3321847
131.2,27.4,11.7,207.6985513
206.5,27.1,11.8,203.0270411
129.1,27.6,11.9,201.0980109
119.1,27.8,11.9,197.73064
153.4,27.8,12,193.7378403
174.7,28.2,12.3,192.4973618
214.9,28,12.1,191.9394058
135.6,27.3,11.8,190.3507272
139,27.7,12,189.0342263
130.9,27.9,12.1,192.3629714
188.7,27.9,12.2,197.4617991
174.4,28,12.3,202.8278923
175,28.1,12.2,225.2349327
144.1,27.8,11.9,202.4257359
173.4,28,12.2,214.1167826
172.5,27.6,12.1,228.9616108
144.7,28.6,12.6,234.8443118
178.2,28.7,12.7,233.9423716
145.3,28.2,12.1,231.4762066
208.4,28,12.2,215.1603314
171.4,28.1,12.2,196.7082162
145.1,28.3,12.4,182.950967
1092,27.4,21.5,207.8931785
1210.2,27,21.5,212.0066302
1116.4,26.6,20.3,212.9732632
1096,27,20.9,215.9804666
1204.1,26.7,20.7,215.8702607
1186.6,27.1,21.2,213.7499396
1265.2,27.1,21.3,213.0873363
1225,27.1,21.3,210.4530895
1156.3,27.6,21.8,211.886983
1244.1,27.2,21.2,210.4170639
1156.4,26.8,21,206.9650594
1083.1,27,21.1,207.9805643
1073.5,27.2,21.3,205.9064776
1310.8,27.4,21.8,209.2518891
1173.6,27.3,21.9,202.9296639
1077.7,27.5,21.9,197.9106463
1168.1,27.4,21.7,205.0266182
1250.6,27.4,21.7,205.5065325
1323.5,27.1,21.3,208.093702
1149.2,27.8,22.4,190.691085
